Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Short,134.5345817621,132.6763919197,1.0140054294175007,10322.102978161427,2013-05-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
Long,132.6763919197,128.4688607347,0.9682872655479919,12175.868523282212,2013-05-31 00:00:00+00:00,2013-07-09 00:00:00+00:00
Short,128.4688607347,127.5602304593,1.0071231470194772,10395.628835225054,2013-07-09 00:00:00+00:00,2013-07-10 00:00:00+00:00
Short,131.0637778274,131.1701939858,0.9991887169244292,10387.195037491121,2013-07-12 00:00:00+00:00,2013-07-16 00:00:00+00:00
Long,131.1701939858,136.0898948461,1.0375062406390325,12632.539578105656,2013-07-16 00:00:00+00:00,2013-07-22 00:00:00+00:00
Short,136.0898948461,135.0994059873,1.0073315559869531,10463.349339455888,2013-07-22 00:00:00+00:00,2013-07-24 00:00:00+00:00
Long,135.0994059873,130.9829927115,0.9695304857507149,12247.632233425908,2013-07-24 00:00:00+00:00,2013-09-09 00:00:00+00:00
Short,130.9829927115,134.1530620065,0.9763697581882522,10216.097864403755,2013-09-09 00:00:00+00:00,2013-09-12 00:00:00+00:00
Short,137.175304236,137.7912503426,0.9955298605312853,10170.430482123833,2013-09-16 00:00:00+00:00,2013-09-19 00:00:00+00:00
Short,139.4091354491,135.7134588098,1.0272314674735352,10447.386228989639,2013-09-20 00:00:00+00:00,2013-09-23 00:00:00+00:00
Long,135.7134588098,136.0666012442,1.0026021180028646,12279.50201775297,2013-09-23 00:00:00+00:00,2013-11-18 00:00:00+00:00
Short,136.0666012442,135.5081434409,1.0041212121214218,10490.442123753726,2013-11-18 00:00:00+00:00,2013-11-20 00:00:00+00:00
Long,135.5081434409,139.1873948507,1.0271515151515942,12612.90910284202,2013-11-20 00:00:00+00:00,2013-11-25 00:00:00+00:00
Short,139.1873948507,138.0047783262,1.0085693882403453,10580.338795125044,2013-11-25 00:00:00+00:00,2013-11-26 00:00:00+00:00
Long,138.0047783262,144.0588257799,1.0438683901175516,13166.217119882713,2013-11-26 00:00:00+00:00,2013-12-18 00:00:00+00:00
Short,144.0588257799,145.1464353087,0.9925068119896512,10501.058327319985,2013-12-18 00:00:00+00:00,2013-12-24 00:00:00+00:00
Short,145.3853798265,145.3029851652,1.0005670541538176,10507.012996063973,2013-12-26 00:00:00+00:00,2013-12-27 00:00:00+00:00
Long,144.7921382652,147.7913039358,1.0207135947195334,13438.936805293346,2013-12-30 00:00:00+00:00,2014-01-06 00:00:00+00:00
Short,147.7913039358,146.901441594,1.0060575466935127,10570.659717896975,2014-01-06 00:00:00+00:00,2014-01-07 00:00:00+00:00
Long,146.901441594,142.1149241664,0.9674168110560222,13001.053388160295,2014-01-07 00:00:00+00:00,2014-03-05 00:00:00+00:00
Short,142.1149241664,143.4459598145,0.9907209959079973,10472.574523119441,2014-03-05 00:00:00+00:00,2014-03-10 00:00:00+00:00
Long,140.4531964319,138.2871632654,0.98457825651871,12800.554477821532,2014-03-11 00:00:00+00:00,2014-04-02 00:00:00+00:00
Short,138.2871632654,137.3116216103,1.0071045818530107,10546.977786030697,2014-04-02 00:00:00+00:00,2014-04-03 00:00:00+00:00
Long,134.9554404941,132.657130493,0.9829698603280801,12582.559247186211,2014-04-04 00:00:00+00:00,2014-04-22 00:00:00+00:00
Short,132.657130493,130.821789413,1.0140293225481414,10694.944739299004,2014-04-22 00:00:00+00:00,2014-04-25 00:00:00+00:00
Long,130.821789413,133.7401470762,1.0223078867541464,12863.24955394978,2014-04-25 00:00:00+00:00,2014-05-27 00:00:00+00:00
Short,133.7401470762,133.3420471654,1.0029855542138646,10726.875076632467,2014-05-27 00:00:00+00:00,2014-05-29 00:00:00+00:00
Long,132.570564623,134.8684212277,1.0173330830356992,13086.209326577313,2014-05-30 00:00:00+00:00,2014-06-05 00:00:00+00:00
Short,134.8684212277,137.2326419221,0.9827721694978223,10542.074290994207,2014-06-05 00:00:00+00:00,2014-06-11 00:00:00+00:00
Short,139.5470895493,139.5553850605,0.9999405575700545,10541.447644481685,2014-06-17 00:00:00+00:00,2014-06-24 00:00:00+00:00
Long,139.5553850605,141.4135795712,1.0133151043214452,13260.453568932959,2014-06-24 00:00:00+00:00,2014-07-16 00:00:00+00:00
