Stock,long return(%),Num of Long,Long win rate(%),Final Capital of Long,short return(%),Num of Short,Short win rate(%),Final Capital of Short,total return(%),annaulized return of Long,annaulized return of Short
AAPL,217.2565841224574,151,69.5364238410596,31725.65841224574,-56.13967417953164,102,50.0,4386.032582046836,80.55845497146288,12.238295941089428,-7.911121205781935
MSFT,601.6611825457718,199,79.39698492462311,70166.11825457717,-14.071291738355463,150,61.333333333333336,8592.870826164453,293.7949454037081,21.51020263335792,-1.5050807858354776
GS,131.0815184265712,106,71.69811320754717,23108.15184265712,-10.494850205783312,130,60.76923076923077,8950.514979421669,60.29333411039395,8.736793289525924,-1.1026163566654534
JPM,120.97717803715513,114,71.9298245614035,22097.717803715514,-21.0351825786553,101,55.445544554455445,7896.481742134471,49.97099772924991,8.251704241358148,-2.33400845597429
DD,48.765118637218706,130,72.3076923076923,14876.511863721871,74.87374646388318,103,66.99029126213593,17487.374646388318,61.81943255055096,4.051923097492804,5.748072823271033
GE,21.87053120621012,97,63.91752577319588,12187.053120621013,20.802914088595912,100,72.0,12080.291408859592,21.33672264740303,1.9975806159266973,1.9078739140669043
