Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Short,21.6385215783,22.4505224549,0.9638315376298615,8387.215080139104,2014-08-13 00:00:00+00:00,2014-08-26 00:00:00+00:00
Short,22.8090133872,22.0168174101,1.035981402867818,8688.998844876627,2014-08-29 00:00:00+00:00,2014-09-03 00:00:00+00:00
Long,22.0168174101,22.5709095402,1.0251667677384568,10550.020684342127,2014-09-03 00:00:00+00:00,2014-09-11 00:00:00+00:00
Long,22.444069173,22.8401671616,1.017648225263737,10736.209825916483,2014-09-16 00:00:00+00:00,2014-09-23 00:00:00+00:00
Long,22.6421181673,22.8023375784,1.0070761670757196,10812.18104040465,2014-09-24 00:00:00+00:00,2014-10-21 00:00:00+00:00
Short,22.9180515976,25.7168939547,0.8911671696422544,7743.350507613522,2014-10-22 00:00:00+00:00,2014-12-01 00:00:00+00:00
Long,25.7168939547,25.4755256965,0.9906144086208402,10710.702327241912,2014-12-01 00:00:00+00:00,2014-12-26 00:00:00+00:00
Long,25.1469966784,25.0061985278,0.9944009953792637,10650.733055420355,2014-12-30 00:00:00+00:00,2015-01-08 00:00:00+00:00
Long,24.41618723,25.1201779831,1.028832951945708,10957.825129793853,2015-01-12 00:00:00+00:00,2015-01-22 00:00:00+00:00
Long,24.3916034259,26.5728573148,1.089426424774677,11937.744254457428,2015-01-27 00:00:00+00:00,2015-01-29 00:00:00+00:00
Short,27.3770048865,28.8959552477,0.9474338069747356,7336.31205016803,2015-02-10 00:00:00+00:00,2015-02-25 00:00:00+00:00
Long,28.8959552477,28.8241584803,0.9975153350431037,11908.082959643987,2015-02-25 00:00:00+00:00,2015-03-18 00:00:00+00:00
Long,28.2475406917,28.5728697942,1.011517077045776,12045.2292685577,2015-03-20 00:00:00+00:00,2015-04-06 00:00:00+00:00
Long,28.2722208305,29.0933963582,1.0290453138656201,12395.086733246311,2015-04-07 00:00:00+00:00,2015-04-23 00:00:00+00:00
Short,29.762003755,29.2930811177,1.0160079656836323,7453.751481711537,2015-04-27 00:00:00+00:00,2015-04-28 00:00:00+00:00
Long,29.2930811177,29.0519603206,0.9917686775204296,12293.058777182716,2015-04-28 00:00:00+00:00,2015-05-14 00:00:00+00:00
Short,29.3313277561,29.2029088543,1.004397469527461,7486.52912671763,2015-05-18 00:00:00+00:00,2015-05-26 00:00:00+00:00
Long,29.2029088543,28.5720791614,0.9783983953089279,12027.508981033901,2015-05-26 00:00:00+00:00,2015-07-15 00:00:00+00:00
Short,29.2029088543,28.2116050512,1.0351381568436437,7749.591961386741,2015-07-17 00:00:00+00:00,2015-07-22 00:00:00+00:00
Long,28.2116050512,27.0943000793,0.9603955545998801,11551.166158295093,2015-07-22 00:00:00+00:00,2015-08-10 00:00:00+00:00
Long,25.6843644838,25.6391017039,0.9982377301985202,11530.809887002455,2015-08-11 00:00:00+00:00,2015-08-28 00:00:00+00:00
Long,24.3785332822,26.0962557814,1.070460453027098,12343.27597540999,2015-09-01 00:00:00+00:00,2015-09-14 00:00:00+00:00
Long,25.7816794607,25.7477323758,0.9986832865193382,12327.023417537639,2015-09-17 00:00:00+00:00,2015-10-20 00:00:00+00:00
Short,26.1392554223,26.0894663644,1.0019083969447509,7764.381259008917,2015-10-22 00:00:00+00:00,2015-10-26 00:00:00+00:00
Long,26.0894663644,27.2776143381,1.0455412907686479,12888.411975307652,2015-10-26 00:00:00+00:00,2015-10-29 00:00:00+00:00
Long,27.4040094908,26.9971655247,0.9851538525325434,12697.0687105009,2015-11-09 00:00:00+00:00,2015-11-19 00:00:00+00:00
Long,26.7630597789,23.0514609153,0.8613163481954995,10936.192854515975,2015-11-23 00:00:00+00:00,2016-01-22 00:00:00+00:00
Long,21.2331638602,22.0832666731,1.0400365587765021,11374.040382526968,2016-01-27 00:00:00+00:00,2016-02-16 00:00:00+00:00
Short,22.4214623962,21.9964326361,1.0193226677767036,7914.40981856841,2016-02-17 00:00:00+00:00,2016-02-18 00:00:00+00:00
Long,21.9964326361,22.9721729993,1.044359027636083,11878.581754189405,2016-02-18 00:00:00+00:00,2016-03-01 00:00:00+00:00
Short,22.9721729993,23.278377235,0.9868459801725521,7810.303514892413,2016-03-01 00:00:00+00:00,2016-03-07 00:00:00+00:00
Long,23.0864283111,23.3674963782,1.0121746016019664,12023.198754643048,2016-03-08 00:00:00+00:00,2016-03-11 00:00:00+00:00
Short,23.8976410252,24.2518324919,0.9853952699525572,7696.236140468815,2016-03-15 00:00:00+00:00,2016-03-23 00:00:00+00:00
Long,24.146717605,24.6060239586,1.0190214819717316,12251.897812997036,2016-03-24 00:00:00+00:00,2016-03-29 00:00:00+00:00
