date,adjClose,daily_return,ema,ema_daily_return,rsi,rsi_daily_return
2013-01-02 00:00:00+00:00,107.0789678541,0.0,,,,
2013-01-03 00:00:00+00:00,106.4933924564,-0.5468631323546802,,,,
2013-01-04 00:00:00+00:00,109.3968704698,2.7264395906898553,107.6564102601,0.7265254861117251,,
2013-01-07 00:00:00+00:00,109.1935456789,-0.18585978742065024,108.42497796949999,0.2703328493455374,80.67796609956895,40.88394886269917
2013-01-08 00:00:00+00:00,108.2094536912,-0.9012364069519885,108.31721583035,-0.3154517788032255,49.947534102695315,34.04043664293624
2013-01-09 00:00:00+00:00,109.2423436287,0.9545283727682374,108.77977972952499,0.31953829698250596,68.71105280362468,60.05686968878141
2013-01-10 00:00:00+00:00,111.7229060771,2.270696843369735,110.25134290331249,1.2951175701761204,86.68806251286492,71.86338324016951
2013-01-11 00:00:00+00:00,111.5277142779,-0.17471063549430177,110.88952859060625,0.5602034673409093,81.1826200590784,39.40356428877473
2013-01-14 00:00:00+00:00,110.7144151145,-0.7292350324453523,110.80197185255312,-0.08451578255222147,58.11506080476407,34.15591252295328
2013-01-15 00:00:00+00:00,110.2752335662,-0.39667964451223225,110.53860270937656,-0.24059771353222686,47.24199880127996,41.20024151981365
2013-01-16 00:00:00+00:00,114.748378965,4.056346338286998,112.64349083718828,1.9078743123773856,86.32646449780707,81.32657062911093
2013-01-17 00:00:00+00:00,114.6833150319,-0.05670139629584403,113.66340293454414,0.9255864580407708,84.95332461275551,41.80276864265171
2013-01-18 00:00:00+00:00,117.481064154,2.439543294786861,115.57223354427207,1.682564876413816,92.57306491452987,59.65323701723242
2013-01-22 00:00:00+00:00,118.7010128991,1.0384215991615653,117.13662322168602,1.3604932377876906,94.42097872501834,47.40997865499094
2013-01-23 00:00:00+00:00,118.3838262254,-0.2672147995650298,117.76022472354302,0.5466392191113304,86.0691039894408,36.84101818584968
2013-01-24 00:00:00+00:00,117.8958467274,-0.41220115412632374,117.82803572547151,0.06721903249250333,71.47862453526457,35.52198453548622
2013-01-25 00:00:00+00:00,117.4891971457,-0.3449227373040986,117.65861643558576,-0.13885185240579764,58.98059743719883,37.08976570975848
2013-01-28 00:00:00+00:00,117.237074405,-0.21459227471555264,117.44784542029288,-0.17672206356067516,50.731181510541845,41.24128897350122
2013-01-29 00:00:00+00:00,119.636306937,2.04647936173481,118.54207617864644,0.9348786490870673,83.55778469645384,78.37605669650667
2013-01-30 00:00:00+00:00,119.6769718952,0.03399048268968308,119.10952403692322,0.4844345658883752,83.83166347691161,42.50881962378932
2013-01-31 00:00:00+00:00,120.2544143012,0.48250084945804517,119.6819691690616,0.4834677076732102,88.06584398617811,50.13703382148137
2013-02-01 00:00:00+00:00,121.9135445946,1.3796834844202799,120.7977568818308,0.931575596046745,94.39361000357798,64.33587402795021
2013-02-04 00:00:00+00:00,119.9778925857,-1.5877251500943768,120.3878247337654,-0.3280747770238159,48.96212092486329,26.665057187620675
2013-02-05 00:00:00+00:00,122.3608591345,1.9861713666106118,121.3743419341327,0.8290482947933979,72.97844794758659,64.36262854780563
2013-02-06 00:00:00+00:00,122.9057695739,0.4453306745754615,122.14005575401634,0.6371894846844297,76.73370478607843,48.30444171701202
2013-02-07 00:00:00+00:00,122.2063322934,-0.5690841714956707,122.17319402370816,0.034052656594379505,60.53586745644279,38.75567724799413
2013-02-08 00:00:00+00:00,123.2961531724,0.8917875682444176,122.73467359805409,0.46292011241939857,73.57368863539678,57.08235511864154
2013-02-11 00:00:00+00:00,123.816664637,0.42216358840667656,123.27566911752704,0.44254185041303756,78.63131451446985,49.88435706555444
2013-02-12 00:00:00+00:00,125.3375340725,1.2283236993653635,124.30660159501352,0.8354327748892005,88.37906149260066,62.16809093249485
2013-02-13 00:00:00+00:00,125.6709867295,0.26604373499730105,124.98879416225677,0.5507382549432508,89.89504456673477,43.2064149283282
2013-02-14 00:00:00+00:00,126.8177385499,0.9125032358250795,125.90326635607838,0.7316207453841652,93.95978077190811,56.55840712128025
2013-02-15 00:00:00+00:00,126.0532373363,-0.602834605270286,125.97825184618918,0.06439307005693962,67.00635563895221,30.963413578543264
2013-02-19 00:00:00+00:00,129.0299122744,2.3614426737478267,127.50408206029459,1.2129178719023832,87.66773489504327,70.34356623888107
2013-02-20 00:00:00+00:00,126.2077641774,-2.1872045382766103,126.8559231188473,-0.48714333318711356,46.37102941747841,30.41273891059989
2013-02-21 00:00:00+00:00,122.7105777747,-2.770975641232565,124.78325044677365,-1.6290594872098392,24.72330137052674,27.416679760376155
2013-02-22 00:00:00+00:00,125.3212680893,2.127518557848629,125.05225926803683,0.24922953531939485,50.56526975272417,67.596088881581
2013-02-25 00:00:00+00:00,120.0836214769,-4.179375689581932,122.56794037246843,-1.9650730771312688,24.87117201572589,32.669607254687804
2013-02-26 00:00:00+00:00,120.7749257658,0.5756857433159457,121.67143306913422,-0.6946936669076615,31.738405152520045,57.5025426689718
2013-02-27 00:00:00+00:00,123.7534965702,2.466216216249939,122.7124648196671,0.8857612746711387,57.08847141685237,65.16476088237488
2013-02-28 00:00:00+00:00,122.2111681263,-1.2462908011856566,122.46181647298354,-0.18026476325725893,44.30804247058848,42.56108331908342
2013-03-01 00:00:00+00:00,122.839524159,0.514155982905451,122.65067031599177,0.166945609824096,51.0103117330703,53.92815879177517
2013-03-04 00:00:00+00:00,124.1860013719,1.0961270178457827,123.4183358439459,0.6315363138349394,64.67491624402649,58.045274863692846
2013-03-05 00:00:00+00:00,124.8225178726,0.5125509265684558,124.12042685827295,0.5720436202016976,70.50800359999033,51.16762333974171
2013-03-06 00:00:00+00:00,125.7772926236,0.7649058577511525,124.94885974093648,0.6684747389764251,78.49706206898384,54.652833820872864
2013-03-07 00:00:00+00:00,127.8092491449,1.6155193667435785,126.37905444291823,1.1419970528600019,88.46879778722995,66.67744784958833
2013-03-08 00:00:00+00:00,124.8388388085,-2.324096539392373,125.60894662570911,-0.5910497432661855,43.86436093566889,23.459903734948597
2013-03-11 00:00:00+00:00,125.0999737831,0.2091776702605852,125.35446020440455,-0.19093603650280017,47.36390488253933,52.903436327643725
2013-03-12 00:00:00+00:00,123.9167059293,-0.9458577951835356,124.63558306685226,-0.5683969158431679,33.26763989017939,41.8841193510066
2013-03-13 00:00:00+00:00,123.9656687371,0.039512677029951426,124.30062590197613,-0.2644421194066082,34.47800986776183,54.114539392542
2013-03-14 00:00:00+00:00,125.687527476,1.3889803172454362,124.99407668898806,0.562269098919414,66.51510243949109,67.96413726078613
2013-03-15 00:00:00+00:00,126.3566858485,0.5323983898305018,125.67538126874403,0.547333744374958,73.94229701828529,52.792512551581666
2013-03-18 00:00:00+00:00,123.9983106089,-1.8664427796307281,124.83684593882202,-0.6595545176278851,34.03396297981729,27.244565280587903
2013-03-19 00:00:00+00:00,121.4604050742,-2.0467258966976987,123.14862550651101,-1.3531402071627918,18.188179880593946,25.835148416045282
2013-03-20 00:00:00+00:00,122.5131054407,0.8667024993510575,122.83086547360551,-0.24321885390586717,36.56435513965157,67.09644848477437
2013-03-21 00:00:00+00:00,118.636883161,-3.163924598724832,120.73387431730276,-1.7035717263153496,16.318950675854904,31.142070114377205
2013-03-22 00:00:00+00:00,119.6324602518,0.839180079814561,120.18316728455139,-0.4321958232503943,31.03118918713837,61.70949803280444
2013-03-25 00:00:00+00:00,119.2325973219,-0.3342428376532314,119.70788230322569,-0.38321933045181283,28.059155400411303,51.631610941292436
2013-03-26 00:00:00+00:00,119.5834974441,0.2942988159963189,119.64568987366285,-0.04446025722774696,36.1134645463521,57.24214429971427
2013-03-27 00:00:00+00:00,120.6443582785,0.8871297938880751,120.14502407608143,0.4213347683301641,57.626879912036614,63.26986516836632
2013-03-28 00:00:00+00:00,120.0812859895,-0.4667207791848593,120.11315503279071,-0.022693005427347618,45.44347768864052,42.665950466093975
2013-04-01 00:00:00+00:00,119.1754740462,-0.7543323140120406,119.64431453949535,-0.3885126597196941,30.091777853330278,38.654681704122225
2013-04-02 00:00:00+00:00,119.6977439955,0.43823609973436817,119.67102926749769,0.024861720007337024,45.89851836662366,61.2901698330725
2013-04-03 00:00:00+00:00,117.0292709735,-2.2293427870288984,118.35015012049885,-1.1022405335107808,16.794813210089487,27.385680575511852
